dataset,classe_0,classe_1,amostras,atributos,C,penalty,max_iter,media_features,desvio_padrao,test_0,test_1
iris,setosa,virginica,100,4,0.01,l1,200,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l1,200,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l1,600,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l1,600,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l1,1000,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l1,1000,1.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,200,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,200,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,600,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,600,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,1000,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.01,l2,1000,4.0,0.0,12,8
iris,setosa,virginica,100,4,0.1,l1,200,2.05,0.49749371855331004,12,8
iris,setosa,virginica,100,4,0.1,l1,200,2.05,0.49749371855331004,12,8
iris,setosa,virginica,100,4,0.1,l1,600,2.05,0.49749371855331004,12,8
iris,setosa,virginica,100,4,0.1,l1,600,2.05,0.49749371855331004,12,8
iris,setosa,virginica,100,4,0.1,l1,1000,2.45,0.9205976319760985,12,8
iris,setosa,virginica,100,4,0.1,l1,1000,2.45,0.9205976319760985,12,8
iris,setosa,virginica,100,4,0.1,l2,200,3.9,0.3,12,8
iris,setosa,virginica,100,4,0.1,l2,200,3.9,0.3,12,8
iris,setosa,virginica,100,4,0.1,l2,600,3.9,0.3,12,8
iris,setosa,virginica,100,4,0.1,l2,600,3.9,0.3,12,8
iris,setosa,virginica,100,4,0.1,l2,1000,3.9,0.3,12,8
iris,setosa,virginica,100,4,0.1,l2,1000,3.9,0.3,12,8
iris,setosa,virginica,100,4,1.0,l1,200,2.35,0.852936105461599,12,8
iris,setosa,virginica,100,4,1.0,l1,200,2.35,0.852936105461599,12,8
iris,setosa,virginica,100,4,1.0,l1,600,3.4,0.9165151389911679,12,8
iris,setosa,virginica,100,4,1.0,l1,600,3.4,0.9165151389911679,12,8
iris,setosa,virginica,100,4,1.0,l1,1000,2.55,0.9733961166965891,12,8
iris,setosa,virginica,100,4,1.0,l1,1000,2.55,0.9733961166965891,12,8
iris,setosa,virginica,100,4,1.0,l2,200,4.0,0.0,12,8
iris,setosa,virginica,100,4,1.0,l2,200,4.0,0.0,12,8
iris,setosa,virginica,100,4,1.0,l2,600,4.0,0.0,12,8
iris,setosa,virginica,100,4,1.0,l2,600,4.0,0.0,12,8
iris,setosa,virginica,100,4,1.0,l2,1000,4.0,0.0,12,8
iris,setosa,virginica,100,4,1.0,l2,1000,4.0,0.0,12,8
iris,setosa,virginica,100,4,10.0,l1,200,3.55,0.4974937185533101,12,8
iris,setosa,virginica,100,4,10.0,l1,200,3.55,0.4974937185533101,12,8
iris,setosa,virginica,100,4,10.0,l1,600,3.05,0.38405728739343037,12,8
iris,setosa,virginica,100,4,10.0,l1,600,3.05,0.38405728739343037,12,8
iris,setosa,virginica,100,4,10.0,l1,1000,3.85,0.3570714214271425,12,8
iris,setosa,virginica,100,4,10.0,l1,1000,3.85,0.3570714214271425,12,8
iris,setosa,virginica,100,4,10.0,l2,200,3.9,0.3,12,8
iris,setosa,virginica,100,4,10.0,l2,200,3.9,0.3,12,8
iris,setosa,virginica,100,4,10.0,l2,600,3.9,0.3,12,8
iris,setosa,virginica,100,4,10.0,l2,600,3.9,0.3,12,8
iris,setosa,virginica,100,4,10.0,l2,1000,3.9,0.3,12,8
iris,setosa,virginica,100,4,10.0,l2,1000,3.9,0.3,12,8
